Bulan,Sumur_4_Dalam_IPA_Statis,Sumur_4_Dalam_IPA_Dinamis,Sumur_6_Luar_IPA_Statis,Sumur_6_Luar_IPA_Dinamis,Sumur_7_Luar_IPA_Statis,Sumur_7_Luar_IPA_Dinamis,Sumur_10_Luar_IPA_Statis,Sumur_10_Luar_IPA_Dinamis,Sumur_14_Dalam_IPA_Statis,Sumur_14_Dalam_IPA_Dinamis,Sumur_15_Luar_IPA_Statis,Sumur_15_Luar_IPA_Dinamis,Sumur_16_Luar_IPA_Statis,Sumur_16_Luar_IPA_Dinamis,Sumur_17_Luar_IPA_Statis,Sumur_17_Luar_IPA_Dinamis,Sumur_18_Dalam_IPA_Statis,Sumur_18_Dalam_IPA_Dinamis
2024-08,,,,,,,,,,,,,,,,,,
2024-09,,,,,,,,,,,,,,,,,,
2024-10,,,,,,,,,,,,,,,,,,
2024-11,,,,,,,,,,,,,,,,,,
2024-12,,,,,,,,,,,,,,,,,,
2025-01,,,,,,,,,,,,,,,,,,
2025-02,,,,,,,,,,,,,,,,,,
2025-03,,,,,,,,,,,,,,,,,,
2025-04,,,,,,,,,,,,,,,,,,
2025-05,,,,,,,,,,,,,,,,,,
2025-06,,,,,,,,,,,,,,,,,,
2025-07,,,,,,,,,,,,,,,,,,
2025-08,,,,,,,,,,,,,,,,,,
2025-09,,,,,,,,,,,,,,,,,,
2025-10,,,,,,,,,,,,,,,,,,
2025-11,,,,,,,,,,,,,,,,,,
2025-12,,,,,,,,,,,,,,,,,,
2026-01,,,,,,,,,,,,,,,,,,
2026-02,,,,,,,,,,,,,,,,,,
2026-03,,,,,,,,,,,,,,,,,,
2026-04,,,,,,,,,,,,,,,,,,
2026-05,,,,,,,,,,,,,,,,,,
2026-06,,,,,,,,,,,,,,,,,,
